name_en,short_description_en,date_inscribed,region_en,continent,states_name_en,category,area_hectares,transboundary,danger,short_description_en_clean
"Kakatiya Rudreshwara (Ramappa) Temple, Telangana","Rudreshwara, popularly known as Ramappa Temple, is located in the village of Palampet approximately 200km north-east of Hyderabad, in the State of Telangana. It is the main Shiva temple in a walled complex built during the Kakatiyan period (1123–1323 CE) under rulers Rudradeva and Recharla Rudra. Construction of the sandstone temple began in 1213 CE and is believed to have continued over some 40 years. The building features decorated beams and pillars of carved granite and dolerite with a distinctive and pyramidal Vimana (horizontally stepped tower) made of lightweight porous bricks, so-called ‘floating bricks’, which reduced the weight of the roof structures. The temple’s sculptures of high artistic quality illustrate regional dance customs and Kakatiyan culture. Located at the foothills of a forested area and amidst agricultural fields, close to the shores of the Ramappa Cheruvu, a Kakatiya-built water reservoir, the choice of setting for the edifice followed the ideology and practice sanctioned in dharmic texts that temples are to be constructed to form an integral part of a natural setting, including hills, forests, springs, streams, lakes, catchment areas, and agricultural lands.",2021,Asia and the Pacific,AS,India,Cultural,5.93,0,0,rudreshwara popularly known ramappa temple located village palampet approximately northeast hyderabad state telangana main shiva temple walled kakatiyan ce ruler rudradeva recharla rudra construction sandstone temple began ce believed continued year decorated beam pillar carved granite dolerite distinctive pyramidal vimana horizontally stepped tower made lightweight porous brick socalled floating brick reduced weight roof structure temple sculpture high artistic quality illustrate regional dance custom kakatiyan culture located foothill forested amidst agricultural field close shore ramappa cheruvu kakatiyabuilt water reservoir choice setting edifice followed ideology practice sanctioned dharmic text temple constructed integral natural setting hill forest spring stream lake catchment agricultural land
Dholavira: a Harappan City,"<p>The ancient city of Dholavira, the southern centre of the Harappan Civilization, is sited on the arid island of Khadir in the State of Gujarat. Occupied between ca. 3000-1500 BCE, the archaeological site, one of the best preserved urban settlements from the period in Southeast Asia, comprises a fortified city and a cemetery. Two seasonal streams provided water, a scarce resource in the region, to the walled city which comprises a heavily fortified castle and ceremonial ground as well as streets and houses of different proportion quality which testify to a stratified social order. A sophisticated water management system demonstrates the ingenuity of the Dholavira people in their struggle to survive and thrive in a harsh environment. The site includes a large cemetery with cenotaphs of six types testifying to the Harappan’s unique view of death. Bead processing workshops and artifacts of various kinds such as copper, shell, stone, jewellery of semi-precious stones, terracotta, gold, ivory and other materials have been found during archaeological excavations of the site, exhibiting the culture’s artistic and technological achievements. Evidence for inter-regional trade with other Harappan cities, as well as with cities in the Mesopotamia region and the Oman peninsula have also been discovered. </p>",2021,Asia and the Pacific,AS,India,Cultural,103.0,0,0,ancient dholavira southern centre harappan civilization sited arid island khadir state gujarat occupied ca bce archaeological best preserved urban settlement southeast asia comprises fortified cemetery seasonal stream provided water scarce resource walled comprises heavily fortified castle ceremonial ground street house different proportion quality testify stratified social order sophisticated water management demonstrates ingenuity dholavira people struggle survive thrive harsh environment includes large cemetery cenotaph six type testifying harappan unique view death bead processing workshop artifact various kind copper shell stone jewellery semiprecious stone terracotta gold ivory material found archaeological excavation exhibiting culture artistic technological achievement evidence interregional trade harappan mesopotamia oman peninsula also discovered p
Trans-Iranian Railway,"The Trans-Iranian Railway connects the Caspian Sea in the northeast with the Persian Gulf in the southwest crossing two mountain ranges as well as rivers, highlands, forests and plains, and four different climatic areas. Started in 1927 and completed in 1938, the 1,394-kilometre-long railway was designed and executed in a successful collaboration between the Iranian government and 43 construction contractors from many countries. The railway is notable for its scale and the engineering works it required to overcome steep routes and other difficulties. Its construction involved extensive mountain cutting in some areas, while the rugged terrain in others dictated the construction of 174 large bridges, 186 small bridges and 224 tunnels, including 11 spiral tunnels. Unlike most early railway projects, construction of the Trans-Iranian Railway was funded by national taxes to avoid foreign investment and control.",2021,Middle East,AS,Iran (Islamic Republic of),Cultural,5784.0,0,0,transiranian railway connects caspian sea northeast persian gulf southwest crossing mountain range river highland forest plain four different climatic started completed railway designed executed successful collaboration iranian government construction contractor country railway notable scale engineering work required overcome steep route difficulty construction involved extensive mountain cutting rugged terrain others dictated construction large bridge small bridge tunnel spiral tunnel unlike early railway project construction transiranian railway funded national tax avoid foreign investment control
Cultural Landscape of Hawraman/Uramanat,"<p>The remote and mountainous landscape of Hawraman/Uramanat bears testimony to the traditional culture of the Hawrami people, an agropastoral Kurdish tribe that has inhabited the region since about 3000 BCE. The property, at the heart of the Zagros Mountains in the provinces of Kurdistan and Kermanshah along the western border of Iran, encompasses two components: the Central-Eastern Valley (Zhaverud and Takht, in Kurdistan Province); and the Western Valley (Lahun, in Kermanshah Province). The mode of human habitation in these two valleys has been adapted over millennia to the rough mountainous environment. Tiered steep-slope planning and architecture, gardening on dry-stone terraces, livestock breeding, and seasonal vertical migration are among the distinctive features of the local culture and life of the semi-nomadic Hawrami people who dwell in lowlands and highlands during different seasons of each year. Their uninterrupted presence in the landscape, which is also characterized by exceptional biodiversity and endemism, is evidenced by stone tools, caves and rock shelters, mounds, remnants of permanent and temporary settlement sites, and workshops, cemeteries, roads, villages, castles, and more. The 12 villages included in the property illustrate the Hawrami people’s evolving responses to the scarcity of productive land in their mountainous environment through the millennia. </p>",2021,Middle East,AS,Iran (Islamic Republic of),Cultural,106307.0,0,0,remote mountainous hawramanuramanat bear testimony traditional culture hawrami people agropastoral kurdish tribe inhabited since bce property heart zagros mountain province kurdistan kermanshah along western border iran encompasses component centraleastern valley zhaverud takht kurdistan province western valley lahun kermanshah province mode human habitation valley adapted millennium rough mountainous environment tiered steepslope planning architecture gardening drystone terrace livestock breeding seasonal vertical migration among distinctive local culture life seminomadic hawrami people dwell lowland highland different season year uninterrupted presence also characterized exceptional biodiversity endemism evidenced stone tool cave rock shelter mound remnant permanent temporary settlement workshop cemetery road village castle village included property illustrate hawrami people evolving response scarcity productive land mountainous environment millennium p
Padua’s fourteenth-century fresco cycles,"The site is composed of eight religious and secular building complexes, within the historic walled city of Padua, which house a selection of fresco cycles painted between 1302 and 1397 by different artists for different types of patron and within buildings of diverse functions. Nevertheless, the frescos maintain a unity of style and content. They include Giotto’s Scrovegni Chapel fresco cycle, considered to have marked the beginning of a revolutionary development in the history of mural painting, as well as other fresco cycles of different artists, namely Guariento di Arpo, Giusto de’ Menabuoi, Altichiero da Zevio, Jacopo Avanzi and Jacopo da Verona. As a group, these fresco cycles illustrate how, over the course of a century, fresco art developed along a new creative impetus and understanding of spatial representation.",2021,Europe,EU,Italy,Cultural,19.96,0,0,composed eight religious secular within historic walled padua house selection fresco cycle painted different artist different type patron within diverse function nevertheless fresco maintain unity style content include giotto scrovegni chapel fresco cycle considered marked beginning revolutionary development history mural painting fresco cycle different artist namely guariento di arpo giusto de menabuoi altichiero da zevio jacopo avanzi jacopo da verona group fresco cycle illustrate course fresco art developed along new creative impetus understanding spatial representation
The Porticoes of Bologna,"<p>The serial property comprises twelve component parts consisting of ensembles of porticoes and their surrounding built areas, located within the Municipality of Bologna from the 12th century to the present. These portico ensembles are considered to be the most representative among city’s porticoes, which cover a total stretch of 62 km. Some of the porticoes are built of wood, others of stone or brick, as well as reinforced concrete, covering roads, squares, paths and walkways, either on one or both sides of a street. The property includes porticoed buildings that do not form a structural continuum with other buildings and therefore are not part of a comprehensive covered walkway or passage. The porticoes are appreciated as sheltered walkways and prime locations for merchant activities. In the 20th century, the use of concrete allowed the replacement of the traditional vaulted arcades with new building possibilities and a new architectural language for the porticoes emerged, as exemplified in the Barca district. Together, the selected porticoes reflect different typologies, urban and social functions and chronological phases. Defined as private property for public use, the porticoes have become an expression and element of Bologna’s urban identity. </p>",2021,Europe,EU,Italy,Cultural,52.18,0,0,serial property comprises twelve component consisting ensemble portico surrounding located within municipality bologna present portico ensemble considered representative among portico cover total stretch km portico wood others stone brick reinforced concrete covering road square path walkway either side street property includes porticoed structural continuum therefore comprehensive covered walkway passage portico appreciated sheltered walkway prime location merchant activity use concrete allowed replacement traditional vaulted arcade new possibility new architectural language portico emerged exemplified barca district together selected portico reflect different typology urban social function chronological phase defined private property public use portico become expression element bologna urban identity p
"Amami-Oshima Island, Tokunoshima Island, Northern part of Okinawa Island, and Iriomote Island","<p>Encompassing 42,698 hectares of subtropical rainforests on four islands on a chain located in the southwest of Japan, the serial site forms an arc on the boundary of the East China Sea and Philippine Sea whose highest point, Mount Yuwandake on Amami-Oshima Island, rises 694 metres above sea level. Entirely uninhabited by humans, the site has high biodiversity value with a very high percentage of endemic species, many of them globally threatened. The site is home to endemic plants, mammals, birds, reptiles, amphibians, inland water fish and decapod crustaceans, including, for example, the endangered Amami Rabbit (Pentalagus furnessi) and the endangered Ryukyu Long-haired Rat (Diplothrix legata) that represent ancient lineages and have no living relatives anywhere in the world. Five mammal species, three bird species, and three amphibian species in the property have been identified globally as Evolutionarily Distinct and Globally Endangered (EDGE) species. There are also a number of different endemic species confined to each respective island that are not found elsewhere in the property. </p>",2021,Asia and the Pacific,AS,Japan,Natural,42698.0,0,0,pencompassing hectare subtropical rainforest four island chain located southwest japan serial arc boundary east china sea philippine sea whose highest point mount yuwandake amamioshima island rise metre sea level entirely uninhabited human high biodiversity value high percentage endemic specie globally threatened home endemic plant mammal bird reptile amphibian inland water fish decapod crustacean example endangered amami rabbit pentalagus furnessi endangered ryukyu longhaired rat diplothrix legata represent ancient lineage living relative anywhere five mammal specie bird specie amphibian specie property identified globally evolutionarily distinct globally endangered edge specie also number different endemic specie confined respective island found elsewhere property p
Jomon Prehistoric Sites in Northern Japan,"<p>The property consists of 17 archaeological sites in the southern part of Hokkaido Island and northern Tohoku in geographical settings ranging from mountains and hills to plains and lowlands, from inland bays to lakes, and rivers. They bear a unique testimony to the development over some 10,000 years of the pre-agricultural yet sedentary Jomon culture and its complex spiritual belief system and rituals. It attests to the emergence, development, maturity and adaptability to environmental changes of a sedentary hunter-fisher-gatherer society which developed from about 13,000 BCE. Expressions of Jomon spirituality were given tangible form in objects such as lacquered pots, clay tablets with the impression of feet, the famous goggle eyed dogu figurines, as well as in ritual places including earthworks and large stone circles reaching diameters of more than 50 metres. The serial property testifies to the rare and very early development of pre-agricultural sedentism from emergence to maturity.</p>",2021,Asia and the Pacific,AS,Japan,Cultural,141.9,0,0,property consists archaeological southern hokkaido island northern tohoku geographical setting ranging mountain hill plain lowland inland bay lake river bear unique testimony development year preagricultural yet sedentary jomon culture spiritual belief ritual attests emergence development maturity adaptability environmental change sedentary hunterfishergatherer society developed bce expression jomon spirituality given tangible object lacquered pot clay tablet impression foot famous goggle eyed dogu figurine ritual place earthwork large stone circle reaching diameter metre serial property testifies rare early development preagricultural sedentism emergence maturityp
As-Salt - The Place of Tolerance and Urban Hospitality,"<p>Built on three closely-spaced hills in the Balqa highland of west-central Jordan, the city of As-Salt, was an important trading link between the eastern desert and the west. During the last 60 years of the Ottoman period, the region prospered from the arrival and settlement of merchants from Nablus, Syria, and Lebanon who made their fortunes in trade, banking, and farming. This prosperity attracted skilled craftsmen from different parts of the region who worked on transforming the modest rural settlement into a thriving town with a distinctive layout and an architecture characterized by large public buildings and family residences constructed of local yellow limestone. The site’s urban core includes approximately 650 significant historic buildings exhibiting a blend of European Art Nouveau and Neo-Colonial styles combined with local traditions. The city’s non-segregated development expresses tolerance between Muslims and Christians who developed traditions of hospitality evidenced in Madafas (guest houses, known as Dawaween) and the social welfare system known as Takaful Ijtimai’. These tangible and intangible aspects emerged through a melding of rural traditions and bourgeois merchants’ and tradespeople’s practices during the Golden Age of As-Salt’s development between 1860s to 1920s. </p>",2021,Middle East,AS,Jordan,Cultural,24.68,0,0,pbuilt closelyspaced hill balqa highland westcentral jordan assalt trading link eastern desert west last year ottoman prospered arrival settlement merchant nablus syria lebanon made fortune trade banking farming prosperity attracted skilled craftsman different worked transforming modest rural settlement thriving distinctive layout architecture characterized large public family residence constructed local yellow limestone urban core includes approximately significant historic exhibiting blend european art nouveau neocolonial style combined local tradition nonsegregated development express tolerance muslim christian developed tradition hospitality evidenced madafas guest house known dawaween social welfare known takaful ijtimai tangible intangible aspect emerged melding rural tradition bourgeois merchant tradespeople practice golden age assalt development p
Chankillo Archaeoastronomical Complex,"<p>The Chankillo Archaeoastronomical Complex is a prehistoric site (250-200 BC), located on the north-central coast of Peru, in the Casma Valley, comprising a set of constructions in a desert landscape that, together with natural features, functioned as a calendrical instrument, using the sun to define dates throughout the year. The site includes a triple-walled hilltop complex, known as the Fortified Temple, two building complexes called Observatory and Administrative Centre, a line of 13 cuboidal towers stretching along the ridge of a hill, and the Cerro Mucho Malo that complements the Thirteen Towers as a natural marker. The ceremonial centre was probably dedicated to a solar cult, and the presence of an observation point on either side of the north-south line of the Thirteen Towers allows the observation both of the solar rising and setting points throughout the whole year. The site shows great innovation by using the solar cycle and an artificial horizon to mark the solstices, the equinoxes, and every other date within the year with a precision of 1-2 days. It is thus a testimony of the culmination of a long historical evolution of astronomical practices in the Casma Valley. </p>",2021,Latin America and the Caribbean,SA,Peru,Cultural,4480.0,0,0,chankillo archaeoastronomical prehistoric bc located northcentral coast peru casma valley comprising set construction desert together natural functioned calendrical instrument using sun define date throughout year includes triplewalled hilltop known fortified temple called observatory administrative centre line cuboidal tower stretching along ridge hill cerro mucho malo complement thirteen tower natural marker ceremonial centre probably dedicated solar cult presence observation point either side northsouth line thirteen tower allows observation solar rising setting point throughout whole year show innovation using solar cycle artificial horizon mark solstice equinox every date within year precision day thus testimony culmination long historical evolution astronomical practice casma valley p
